ID_INE_NUM_Provincia,Nom_Provincia_Catala,Nom_Provincia_INE,ID_INE_NUM_CCAA,Nom_CCAA,MD_DATA_CANVI,lon,lat
20,Guipúscoa,Gipuzkoa,16,País Basc,2017,-2.0895800417507,43.2329465267803
21,Huelva,Huelva,01,Andalusia,2017,-6.88381721984227,37.4071010609295
07,Illes Balears,Illes Balears,04,Illes Balears,2017,2.73737944897193,39.5459740223702
23,Jaén,Jaén,01,Andalusia,2017,-3.61588270221358,37.9200486567778
25,Lleida,Lleida,09,Catalunya,2017,0.923568808979978,41.8172506260762
24,Lleó,León,07,Castella i Lleó,2017,-5.85042102624898,42.5673367545488
27,Lugo,Lugo,12,Galícia,2017,-7.50833121970581,43.0654095424766
28,Madrid,Madrid,13,Comunitat de Madrid,2017,-3.69882207637879,40.4148021330113
52,Melilla,Melilla,19,Melilla,2017,-2.94623370284791,35.2884761280644
29,Màlaga,Málaga,01,Andalusia,2017,-4.55496318627563,36.7062583226323
30,Múrcia,Murcia,14,Regió de Múrcia,2017,-1.22296221804613,37.9153347741349
31,Navarra,Navarra,15,Comunitat Foral de Navarra,2017,-1.7071893291378,42.6885953826547
22,Osca,Huesca,02,Aragó,2017,-0.0649138306833376,42.129948330015
32,Ourense,Ourense,12,Galícia,2017,-7.75687430540636,42.2688390111576
35,"Palmas, Las",Las Palmas,05,Canàries,2017,-15.1837604726508,28.1622977953235
34,Palència,Palencia,07,Castella i Lleó,2017,-4.53923739936447,42.2640898584356
36,Pontevedra,Pontevedra,12,Galícia,2017,-8.65014415147566,42.3276289314254
26,"Rioja, La",La Rioja,17,"Rioja, La",2017,-2.50435840533875,42.3780670620276
37,Salamanca,Salamanca,07,Castella i Lleó,2017,-5.88443939421391,40.8277805430387
38,Santa Cruz de Tenerife,Santa Cruz de Tenerife,05,Canàries,2017,-16.598875537922,28.4017791891303
50,Saragossa,Zaragoza,02,Aragó,2017,-1.04237683966716,41.6232757550995
40,Segòvia,Segovia,07,Castella i Lleó,2017,-4.06400697045709,41.1465138474302
41,Sevilla,Sevilla,01,Andalusia,2017,-5.85552797465384,37.3721995792829
42,Sòria,Soria,07,Castella i Lleó,2017,-2.52207397013662,41.6793316971373
