id,name,Comarca,Abreviatura comarca,Província,Longitud,Latitud
34090808119,Masquefa,Anoia,ANO,Barcelona,1.81185265,41.50189427
34132828086,El Molar,Priorat,PRI,Tarragona,0.706156478,41.163750749
34090808132,Montmajor,Berguedà,BER,Barcelona,1.734842842,42.017415526
34092525146,Navès,Solsonès,SOL,Lleida,1.636754845,41.992269144
34091717047,Castelló d'Empúries,Alt Empordà,AEM,Girona,3.074791957,42.258576569
34091717048,Castell-Platja d'Aro,Baix Empordà,BEM,Girona,3.067081286,41.817447752
34090808190,Saldes,Berguedà,BER,Barcelona,1.736147373,42.229320229
34094343013,L'Ametlla de Mar,Baix Ebre,BEB,Tarragona,0.803501688,40.885248463
34094343014,Amposta,Montsià,MON,Tarragona,0.581007048,40.713452378
34090808166,La Pobla de Lillet,Berguedà,BER,Barcelona,1.974683055,42.243380426
34094343004,Alcanar,Montsià,MON,Tarragona,0.481966932,40.5428638
34090808184,Rubí,Vallès Occidental,VOC,Barcelona,2.031335058,41.493484672
34090808185,Rubió,Anoia,ANO,Barcelona,1.570183864,41.644644088
34091717152,Roses,Alt Empordà,AEM,Girona,3.174927346,42.263408485
34090808270,Sitges,Garraf,GAF,Barcelona,1.811838248,41.235085186
34091717054,Colera,Alt Empordà,AEM,Girona,3.150655224,42.403880308
34091717062,L'Escala,Alt Empordà,AEM,Girona,3.133767625,42.125058782
34091717065,Esponellà,Pla de l'Estany,PES,Girona,2.797006406,42.177357963
34091717137,Porqueres,Pla de l'Estany,PES,Girona,2.778059867,42.104307015
34091717123,Palol de Revardit,Pla de l'Estany,PES,Girona,2.795806377,42.06935071
34092525074,Ciutadilla,Urgell,URG,Lleida,1.138813382,41.561607011
34091717003,Albanyà,Alt Empordà,AEM,Girona,2.720108023,42.304746628
34090808052,Castellar de n'Hug,Berguedà,BER,Barcelona,2.017208352,42.282875139
34090808054,Castellbisbal,Vallès Occidental,VOC,Barcelona,1.981226635,41.474875242
34091717169,Sant Julià de Ramis,Gironès,GIR,Girona,2.839385619,42.034654264
34091717170,Vallfogona de Ripollès,Ripollès,RIP,Girona,2.304150212,42.197288935
34091717205,Ullastret,Baix Empordà,BEM,Girona,3.068398309,42.000762864
34091717125,Pardines,Ripollès,RIP,Girona,2.214123574,42.312374597
34091717056,Cornellà del Terri,Pla de l'Estany,PES,Girona,2.815658025,42.089144574
34091717085,Jafre,Baix Empordà,BEM,Girona,3.010759556,42.071965546
34094343003,L'Albiol,Baix Camp,BCA,Tarragona,1.089629618,41.252099849
34094343104,El Perelló,Baix Ebre,BEB,Tarragona,0.712002694,40.874960691
34094343115,Pradell de la Teixeta,Priorat,PRI,Tarragona,0.875646887,41.15619339
34094343146,Senan,Conca de Barberà,CBA,Tarragona,1.088271595,41.469930456
34094343148,Tarragona,Tarragonès,TAR,Tarragona,1.254358212,41.117434237
34094343150,Tivissa,Ribera d'Ebre,REB,Tarragona,0.732607845,41.042606642
34094343155,Tortosa,Baix Ebre,BEB,Tarragona,0.520955976,40.810905003
34094343081,Maspujols,Baix Camp,BCA,Tarragona,1.045839079,41.181946462
34091717006,Alp,Cerdanya,CER,Girona,1.887513138,42.373498188
34091717031,Cabanelles,Alt Empordà,AEM,Girona,2.819514826,42.230371435
34091717032,Cadaqués,Alt Empordà,AEM,Girona,3.275849152,42.288251552
34090808143,Òdena,Anoia,ANO,Barcelona,1.641588518,41.606742091
34090808161,Piera,Anoia,ANO,Barcelona,1.743364446,41.518136198
34090808162,Els Hostalets de Pierola,Anoia,ANO,Barcelona,1.770752125,41.53379831
34090808099,Guardiola de Berguedà,Berguedà,BER,Barcelona,1.878810946,42.233220705
34090808116,Les Masies de Roda,Osona,OSO,Barcelona,2.30771889,41.989567361
34090808076,Esparreguera,Baix Llobregat,BLL,Barcelona,1.870708537,41.538966192
34092525145,Nalec,Urgell,URG,Lleida,1.115201518,41.559825654
34090808229,Sant Mateu de Bages,Bages,BAG,Barcelona,1.732630684,41.796756812
34090808279,Terrassa,Vallès Occidental,VOC,Barcelona,2.010294804,41.562958779
34090808253,Santa Maria de Besora,Osona,OSO,Barcelona,2.257677408,42.12772104
34092525113,Ivars d'Urgell,Pla d'Urgell,PUR,Lleida,0.98674138,41.68195747
34092525124,Lladurs,Solsonès,SOL,Lleida,1.507628611,42.044669154
34092525127,Lles de Cerdanya,Cerdanya,CER,Lleida,1.687061793,42.390291653
34092525130,Maldà,Urgell,URG,Lleida,1.040176789,41.551101926
34092525136,La Molsosa,Solsonès,SOL,Lleida,1.541023401,41.783277943
34092525153,Els Omellons,Garrigues,GAR,Lleida,0.95990685,41.501124403
34092525166,Pinell de Solsonès,Solsonès,SOL,Lleida,1.418757039,41.950155939
34092525169,La Pobla de Cérvoles,Garrigues,GAR,Lleida,0.915289225,41.36804868
34092525180,Puiggròs,Garrigues,GAR,Lleida,0.889455565,41.551719317
34092525182,Puigverd de Lleida,Segrià,SGR,Lleida,0.733536105,41.543703841
34090808088,La Garriga,Vallès Oriental,VOR,Barcelona,2.285838545,41.685307859
34091717083,Hostalric,Selva,SEL,Girona,2.641346718,41.74580856
34090808032,Caldes d'Estrac,Maresme,MAR,Barcelona,2.527515728,41.57254213
34090808198,Sant Antoni de Vilamajor,Vallès Oriental,VOR,Barcelona,2.400660571,41.673569557
34092525175,Prats i Sansor,Cerdanya,CER,Lleida,1.836956242,42.36492897
34090808205,Sant Cugat del Vallès,Vallès Occidental,VOC,Barcelona,2.082391608,41.469853438
34090808114,Martorell,Baix Llobregat,BLL,Barcelona,1.930730461,41.474336102
34090808199,Sant Bartomeu del Grau,Osona,OSO,Barcelona,2.177151812,41.98028526
34090808154,Pacs del Penedès,Alt Penedès,APE,Barcelona,1.669009697,41.36151537
34090808092,Gironella,Berguedà,BER,Barcelona,1.882846227,42.03383842
34090808039,Campins,Vallès Oriental,VOR,Barcelona,2.463909429,41.72452859
34090808086,Les Franqueses del Vallès,Vallès Oriental,VOR,Barcelona,2.297161105,41.636306728
34094343124,La Riba,Alt Camp,ACA,Tarragona,1.177776121,41.318336933
34090808242,Marganell,Bages,BAG,Barcelona,1.793045527,41.640290978
34094343113,El Pont d'Armentera,Alt Camp,ACA,Tarragona,1.362939374,41.383748939
34094343129,Riudoms,Baix Camp,BCA,Tarragona,1.050870857,41.1376834
34094343114,Porrera,Priorat,PRI,Tarragona,0.856129608,41.188257409
34094343130,Rocafort de Queralt,Conca de Barberà,CBA,Tarragona,1.280961476,41.477539851
34090808009,Argentona,Maresme,MAR,Barcelona,2.400515899,41.555644039
34090808005,L'Ametlla del Vallès,Vallès Oriental,VOR,Barcelona,2.261520529,41.66939188
34091717199,Torroella de Montgrí,Baix Empordà,BEM,Girona,3.12637678,42.041014927
34091717207,La Vall d'en Bas,Garrotxa,GAX,Girona,2.459160667,42.117698124
34090808003,Alella,Maresme,MAR,Barcelona,2.295144857,41.493840079
34090808031,Calaf,Anoia,ANO,Barcelona,1.511278933,41.734066475
34091717035,Camós,Pla de l'Estany,PES,Girona,2.768048383,42.093822945
34091717190,Serinyà,Pla de l'Estany,PES,Girona,2.745542768,42.169656286
34091717098,Maià de Montcal,Garrotxa,GAX,Girona,2.742740958,42.22211068
