X,Y,NMUN,
539937.648220201,4741231.72956411,Alegría-Dulantzi
539970.47962606,4744471.14733911,Alegría-Dulantzi
500271.814049776,4759474.06457451,Amurrio
504293.833120229,4764657.71649484,Amurrio
499349.701096073,4767200.63421053,Amurrio
499795.594993971,4767564.87021568,Amurrio
500105.288051565,4766920.02632616,Amurrio
502752.58857738,4768088.40530277,Amurrio
501355.538266301,4769693.50865043,Amurrio
533128.786854095,4765991.22198362,Aramaio
488492.389312186,4775223.25777465,Artziniega
510352.206176251,4729084.19064506,Armiñón
531535.247748015,4752475.84919478,Arrazua-Ubarrundia
555853.735083419,4749228.02220063,Asparrena
493282.000941484,4769059.19865334,Ayala/Aiara
500019.424082666,4771906.77668308,Ayala/Aiara
526689.921372829,4707873.74709425,Baños de Ebro/Mañueta
541374.783337819,4751173.52349794,Barrundia
513634.645633126,4726080.66105367,Berantevilla
539026.767559524,4726943.79091991,Bernedo
552369.016206308,4726246.16631252,Campezo/Kanpezu
521959.285988574,4757379.90875402,Zigoitia
539850.812180069,4715934.76652208,Kripan
505277.527177684,4749222.0133713,Kuartango
536993.35742819,4745868.69426084,Elburgo/Burgelu
530824.037900009,4706157.09325153,Elciego
537720.077317349,4712265.71011927,Elvillar/Bilar
542869.649153317,4741276.62800693,Iruraiz-Gauna
515679.34062014,4717033.62580161,Labastida/Bastida
531865.161692469,4718546.32085001,Lagrán
535052.148413585,4710767.81958773,Laguardia
541067.288190892,4710298.18302967,Lanciego/Lantziego
535297.829242062,4704792.20495474,Lapuebla de Labarca
529752.268892705,4713274.67869643,Leza
502990.725175945,4776559.02940145,Laudio/Llodio
503165.642802935,4776486.34393295,Laudio/Llodio
503187.658638688,4776103.08390581,Laudio/Llodio
504094.463980979,4775856.99704323,Laudio/Llodio
504197.319800486,4777349.80015192,Laudio/Llodio
503280.563803781,4776893.73940169,Laudio/Llodio
503488.617833139,4777789.46972203,Laudio/Llodio
501291.541223971,4778055.91249658,Laudio/Llodio
501403.45347916,4777273.4559943,Laudio/Llodio
502566.316227542,4776349.6140978,Laudio/Llodio
501026.057698916,4774773.20769126,Laudio/Llodio
503228.072097126,4778089.56615887,Laudio/Llodio
502498.684681428,4779356.55651373,Laudio/Llodio
545408.848854435,4733097.07784601,Arraia-Maeztu
548019.384623786,4708456.77568357,Moreda de Álava
530270.90897498,4709751.67156813,Navaridas
498541.448363637,4779495.03591213,Okondo
546534.63539598,4712075.35524845,Oyón-Oion
546595.277223008,4709289.54306481,Oyón-Oion
524170.62627217,4720657.44414493,Peñacerrada-Urizaharra
506121.163585009,4738889.81400127,Erriberagoitia/Ribera Alta
507982.394310915,4730253.78516564,Ribera Baja/Erribera Beitia
500691.470637929,4740121.79124389,Añana
551661.115085391,4741516.14415394,Salvatierra/Agurain
549109.756873687,4745861.01443736,Salvatierra/Agurain
548918.274858576,4741952.33726143,Salvatierra/Agurain
526562.162304583,4712980.75301314,Samaniego
549583.703814432,4747558.03505803,San Millán/Donemiliaga
506489.714549156,4757017.27684899,Urkabustaiz
489517.379140946,4745733.67137061,Valdegovía/Gaubea
555654.232166283,4734098.0611303,Harana/Valle de Arana
527801.656629503,4709918.42925697,Villabuena de Álava/Eskuernaga
528716.955268917,4758974.34781518,Legutio
526721.198518999,4743920.98020784,Vitoria-Gasteiz
526599.129342739,4743994.87949616,Vitoria-Gasteiz
526641.061861209,4744131.95824003,Vitoria-Gasteiz
526712.101474322,4744338.62511734,Vitoria-Gasteiz
526801.797005054,4744105.06371906,Vitoria-Gasteiz
526814.208240703,4744471.21539181,Vitoria-Gasteiz
526911.749280918,4744303.66848858,Vitoria-Gasteiz
526988.246522157,4744135.54693429,Vitoria-Gasteiz
526946.663836538,4744001.26596375,Vitoria-Gasteiz
527056.902092883,4743959.94306746,Vitoria-Gasteiz
526860.284165386,4743784.41967542,Vitoria-Gasteiz
526765.30198465,4743637.42023146,Vitoria-Gasteiz
527048.319703028,4743739.2449304,Vitoria-Gasteiz
527029.128828537,4743494.60839058,Vitoria-Gasteiz
526791.313184327,4743497.01063995,Vitoria-Gasteiz
526546.841282317,4743462.52740465,Vitoria-Gasteiz
526848.932319301,4743279.80769329,Vitoria-Gasteiz
526437.681964355,4744207.31173981,Vitoria-Gasteiz
526370.27635159,4744361.74970798,Vitoria-Gasteiz
526234.341263039,4744312.8275312,Vitoria-Gasteiz
526132.537155096,4744355.8390424,Vitoria-Gasteiz
526510.447909282,4744375.43533409,Vitoria-Gasteiz
526617.012604314,4744457.87298424,Vitoria-Gasteiz
526426.186787916,4744538.35085363,Vitoria-Gasteiz
526582.525842751,4744580.97372913,Vitoria-Gasteiz
526568.208572817,4744695.73616404,Vitoria-Gasteiz
526300.66754678,4744557.450508,Vitoria-Gasteiz
526322.429518602,4744687.26417352,Vitoria-Gasteiz
526172.139799886,4744640.38488317,Vitoria-Gasteiz
526549.032203434,4744817.87147402,Vitoria-Gasteiz
526304.788066191,4744845.84022655,Vitoria-Gasteiz
526393.668884984,4745048.43314023,Vitoria-Gasteiz
526607.127364957,4745027.91070355,Vitoria-Gasteiz
526512.656903458,4745291.92897575,Vitoria-Gasteiz
526365.3678806,4745254.60823999,Vitoria-Gasteiz
526276.033313197,4745221.47669109,Vitoria-Gasteiz
526140.60021653,4745180.25254188,Vitoria-Gasteiz
526167.887962359,4744988.43370193,Vitoria-Gasteiz
526304.090538348,4743600.6821368,Vitoria-Gasteiz
526028.943904712,4743571.041439,Vitoria-Gasteiz
526302.326130988,4743880.14923729,Vitoria-Gasteiz
